name,code,category
Blind Corner,Blind Corner,Alcohol:Beer
BreakThru,BreakThru,Alcohol:Beer
CHICAGO BEVERAGE SYSTEMS,Chicago Beverage,Alcohol:Beer
Elgin Beverage,Elgin Beverage,Alcohol:Beer
Euclid Bev,Euclid Bev,Alcohol:Beer
Glen Ellyn Brewing Company,Glen Ellyn Brewing Company,Alcohol:Beer
Hailstorm Brewing Co,Hailstorm,Alcohol:Beer
Heartland Beverage LLC,Heartland Beverage,Alcohol:Beer
Hidden Hand Brewing,Hidden Hand,Alcohol:Beer
Lakeshore Beverage,Lakeshore Beverage,Alcohol:Beer
Louis Glunz Beer,Louis Glunz Beer,Alcohol:Beer
Midwest Coast Brewing Co,Midwest Coast,Alcohol:Beer
Momentum Beverage Team,Momentum Beverage,Alcohol:Beer
ReLax Brewing,ReLax,Alcohol:Beer
Schamberger Bros. Inc.,Schamberger Brothers Inc,Alcohol:Beer
Schaumberger Brothers,Schaumberger Brothers,Alcohol:Beer
Short Fuse Brewing Company,Short Fuse,Alcohol:Beer
Soundgrowler Brewing Co,Soundgrowler,Alcohol:Beer
Sturdy Shelter Brewing,Sturdy Shelter,Alcohol:Beer
Superior Beverage Co. Inc.,Super,Alcohol:Beer
Windy City,Windy City,Alcohol:Beer
